epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,83.1974,1.67055,2.69684,1.87116,0.6194,0.563,0.60827,0.32876,1.39923,2.10242,1.58557,0.00198985,0.000663283,0.00198985,0.000663283,0.00198985,0.000663283,0.00198985,0.000663283
2,116.057,1.41884,1.98185,1.6265,0.73415,0.72859,0.77469,0.40814,1.48948,1.63038,1.60205,0.00391085,0.00130362,0.00391085,0.00130362,0.00391085,0.00130362,0.00391085,0.00130362
3,144.851,1.40642,1.78749,1.617,0.76382,0.75306,0.80314,0.40491,1.57295,1.3855,1.6316,0.00575265,0.00191755,0.00575265,0.00191755,0.00575265,0.00191755,0.00575265,0.00191755
4,172.553,1.4053,1.6815,1.60628,0.75919,0.78309,0.81798,0.43287,1.52172,1.26693,1.63058,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812
5,200.413,1.40247,1.55061,1.59633,0.77433,0.76863,0.81859,0.43263,1.49692,1.23666,1.61235,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416
6,228.215,1.37881,1.51017,1.58257,0.76305,0.79422,0.82944,0.4668,1.39409,1.14724,1.52845,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802
7,255.951,1.3759,1.44259,1.56214,0.80779,0.78643,0.84889,0.48105,1.40824,1.06099,1.53966,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624
8,283.599,1.35858,1.41876,1.575,0.76224,0.84427,0.85075,0.46954,1.45035,1.01446,1.57112,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228
9,311.155,1.33871,1.34475,1.54574,0.7738,0.77626,0.81638,0.41271,1.60934,1.12501,1.71062,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832
10,338.639,1.31646,1.30783,1.53502,0.77175,0.83426,0.86054,0.51776,1.29236,0.95961,1.46761,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436
